Artist,Artist ID,Monthly Listeners,Date,Daily Listeners
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10437606,2024-12-22,"+6,509"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10432128,2024-12-23,"-14,204"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10420899,2024-12-24,"-2,839"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10423737,2024-12-25,"+31,917"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10436093,2024-12-26,"-11,514"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10429142,2024-12-27,"-24,258"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10431382,2024-12-28,"-38,350"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10430899,2024-12-29,"+16,788"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10440889,2024-12-30,"-38,098"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10462873,2024-12-31,"+27,802"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10471292,2025-01-01,"-12,003"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10479218,2025-01-02,"-34,624"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10487152,2025-01-03,"-32,488"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10475784,2025-01-04,"+21,001"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10494677,2025-01-05,"+9,549"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10480986,2025-01-06,"+47,271"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10465050,2025-01-07,"+16,550"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10468393,2025-01-08,"-15,596"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10465585,2025-01-09,"+3,320"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10466122,2025-01-10,"+26,452"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10458809,2025-01-11,"+4,357"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10485178,2025-01-12,"+23,440"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10475577,2025-01-13,"-7,189"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10489227,2025-01-14,"+56,006"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10501297,2025-01-15,"-18,894"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10489886,2025-01-16,"-20,730"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10502256,2025-01-17,"-1,341"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10499440,2025-01-18,"-41,292"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10518785,2025-01-19,"-9,818"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10513071,2025-01-20,"-35,801"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10519073,2025-01-21,"+42,795"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10520770,2025-01-22,"-56,590"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10526411,2025-01-23,"-36,792"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10528359,2025-01-24,"+16,039"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10516206,2025-01-25,"-5,310"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10504047,2025-01-26,"+9,702"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10499354,2025-01-27,"+8,512"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10501666,2025-01-28,"+36,900"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10502008,2025-01-29,"-3,716"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10511460,2025-01-30,"+27,477"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10515211,2025-01-31,"+36,713"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10503100,2025-02-01,"-14,486"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10512203,2025-02-02,"+14,344"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10504797,2025-02-03,"+24,673"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10512289,2025-02-04,"-3,953"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10487174,2025-02-05,"-10,288"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10474762,2025-02-06,"+24,501"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10474614,2025-02-07,"-4,640"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10473380,2025-02-08,"-19,153"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10468989,2025-02-09,"-3,443"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10467321,2025-02-10,"+51,118"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10464565,2025-02-11,"+14,524"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10464443,2025-02-12,"+10,520"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10464321,2025-02-13,"+30,305"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10476032,2025-02-14,"+4,191"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10468237,2025-02-15,"+18,106"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10468971,2025-02-16,"-60,698"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10469604,2025-02-17,"-94,867"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10472445,2025-02-18,"+10,095"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10466699,2025-02-19,"-21,448"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10453365,2025-02-20,"+18,731"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10432533,2025-02-21,"+64,776"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10416159,2025-02-22,"+62,259"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10401828,2025-02-23,"+22,204"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10406993,2025-02-24,"+53,595"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10425957,2025-02-25,"+4,569"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10432867,2025-02-26,"+11,176"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10434414,2025-02-27,"+7,883"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10435487,2025-02-28,"+17,570"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10450074,2025-03-01,"-2,204"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10462073,2025-03-02,"-25,356"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10464097,2025-03-03,"+6,757"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10443220,2025-03-04,"+36,939"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10440381,2025-03-05,"+30,918"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10433586,2025-03-06,"-20,650"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10425099,2025-03-07,"+45,623"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10425505,2025-03-08,"-50,563"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10432140,2025-03-09,"+3,974"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10431968,2025-03-10,"-58,968"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10436565,2025-03-11,"+68,792"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10440254,2025-03-12,"-17,710"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10455243,2025-03-13,"+48,594"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10459394,2025-03-14,"+4,329"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10467614,2025-03-15,"-10,285"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10481626,2025-03-16,"+56,732"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10461026,2025-03-17,"+57,545"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10461460,2025-03-18,"+2,660"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10437452,2025-03-19,"+12,757"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10442464,2025-03-20,"+23,687"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10446633,2025-03-21,"+40,428"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10460523,2025-03-22,"-51,789"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10469940,2025-03-23,"+1,289"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10464445,2025-03-24,"+13,990"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10466767,2025-03-25,"-1,442"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10453179,2025-03-26,"-28,720"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10428797,2025-03-27,"+12,852"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10425846,2025-03-28,"+27,755"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10437540,2025-03-29,"-28,589"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10456210,2025-03-30,"-34,429"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10445352,2025-03-31,"-30,886"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10440666,2025-04-01,"-19,037"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10446431,2025-04-02,-278
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10445247,2025-04-03,"+63,305"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10450746,2025-04-04,"-42,493"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10441758,2025-04-05,"-24,925"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10424921,2025-04-06,"+63,419"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10408346,2025-04-07,"+76,036"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10394736,2025-04-08,+358
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10408662,2025-04-09,"-32,374"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10389982,2025-04-10,"+53,630"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10388190,2025-04-11,"-10,892"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10391581,2025-04-12,+26
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10391105,2025-04-13,"-2,463"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10396596,2025-04-14,"-7,930"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10384927,2025-04-15,"-35,568"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10395666,2025-04-16,"-12,865"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10397837,2025-04-17,"+25,345"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10402718,2025-04-18,"+12,064"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10408467,2025-04-19,"+26,671"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10401170,2025-04-20,"+50,157"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10397830,2025-04-21,"-5,380"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10394651,2025-04-22,"-3,833"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10404244,2025-04-23,"+6,012"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10404563,2025-04-24,"-34,166"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10097136,2024-10-27,"+38,723"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10109673,2024-10-28,"-15,828"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10106812,2024-10-29,"+9,013"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10097106,2024-10-30,"-48,344"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10108847,2024-10-31,"+56,460"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10105112,2024-11-01,"-14,420"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10112664,2024-11-02,"+5,123"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10109164,2024-11-03,"-32,439"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10107393,2024-11-04,"-33,807"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10102331,2024-11-05,"-10,267"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10113205,2024-11-06,"-9,731"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10119570,2024-11-07,"+17,768"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10106151,2024-11-08,"+38,490"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10100045,2024-11-09,"+25,800"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10098291,2024-11-10,"+19,264"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10104499,2024-11-11,"-23,061"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10104488,2024-11-12,"-2,523"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10098411,2024-11-13,"+19,781"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10107640,2024-11-14,"+45,805"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10100983,2024-11-15,"+7,554"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10096320,2024-11-16,"+33,107"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10095584,2024-11-17,"-20,972"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10100679,2024-11-18,"-29,483"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10102896,2024-11-19,"+43,484"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10102680,2024-11-20,"+55,615"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10111131,2024-11-21,"+11,102"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10112062,2024-11-22,"+4,415"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10129986,2024-11-23,"+27,105"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10136080,2024-11-24,"+11,255"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10121907,2024-11-25,"-19,924"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10131936,2024-11-26,"+37,378"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10121549,2024-11-27,"+23,251"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10115824,2024-11-28,"-1,017"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10109061,2024-11-29,"+59,083"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10127115,2024-11-30,"-35,209"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10139576,2024-12-01,"+28,123"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10148761,2024-12-02,"+49,512"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10149849,2024-12-03,"-24,232"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10147844,2024-12-04,"-12,193"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10153742,2024-12-05,"+6,458"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10150569,2024-12-06,"+12,486"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10142964,2024-12-07,"+92,816"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10138060,2024-12-08,"-42,535"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10137049,2024-12-09,"-30,134"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10133304,2024-12-10,"+11,316"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10128800,2024-12-11,"-10,767"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10119204,2024-12-12,"+76,879"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10121586,2024-12-13,"+46,960"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10118135,2024-12-14,"+10,392"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10128288,2024-12-15,"-7,666"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10130752,2024-12-16,"+18,691"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10146348,2024-12-17,"+16,408"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10136246,2024-12-18,"-2,256"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10141392,2024-12-19,"+68,386"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10143107,2024-12-20,"-27,509"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10145198,2024-12-21,"+19,183"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10146912,2024-12-22,"+99,398"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10139494,2024-12-23,"+37,795"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10137116,2024-12-24,"-18,927"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10130347,2024-12-25,"+9,396"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10132121,2024-12-26,"-39,720"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10118495,2024-12-27,"-27,155"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10117518,2024-12-28,"+68,615"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10131501,2024-12-29,"-64,784"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10136554,2024-12-30,"+21,292"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10143985,2024-12-31,"+1,978"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10149907,2025-01-01,"+11,467"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10165015,2025-01-02,"-5,177"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10167916,2025-01-03,"+9,837"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10172442,2025-01-04,"-7,004"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10163205,2025-01-05,"-35,840"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10171213,2025-01-06,"-10,861"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10163050,2025-01-07,"-2,173"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10162340,2025-01-08,"-6,224"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10152138,2025-01-09,"-29,990"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10163000,2025-01-10,"-4,452"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10166833,2025-01-11,"-14,286"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10166262,2025-01-12,"-52,620"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10175155,2025-01-13,"+79,550"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10187906,2025-01-14,"+5,690"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10197246,2025-01-15,"+16,171"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10208592,2025-01-16,"-28,091"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10220172,2025-01-17,"+25,875"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10213322,2025-01-18,"-29,625"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10224015,2025-01-19,"-30,187"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10201063,2025-01-20,"-5,487"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10208251,2025-01-21,+704
2 Chainz,17lzZA2AlOHwCwFALHttmp,10196907,2025-01-22,"+22,875"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10204866,2025-01-23,"-45,793"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10198486,2025-01-24,"+22,372"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10199416,2025-01-25,"-73,029"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10193275,2025-01-26,"+10,447"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10177948,2025-01-27,"-19,961"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10170743,2025-01-28,"+15,437"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10175878,2025-01-29,"-43,841"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10181880,2025-01-30,"+4,879"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10190288,2025-01-31,"+3,198"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10194921,2025-02-01,"+34,018"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10177852,2025-02-02,"+14,570"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10167920,2025-02-03,"-23,821"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10159697,2025-02-04,"-8,272"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10163306,2025-02-05,+520
2 Chainz,17lzZA2AlOHwCwFALHttmp,10158451,2025-02-06,"-14,529"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10147699,2025-02-07,"+21,290"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10152922,2025-02-08,"+39,421"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10164522,2025-02-09,"+31,561"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10165279,2025-02-10,"+17,788"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10166530,2025-02-11,"+9,613"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10174261,2025-02-12,"-28,710"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10175558,2025-02-13,"+72,500"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10192276,2025-02-14,"-17,101"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10168734,2025-02-15,"+42,042"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10178240,2025-02-16,"+75,169"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10177886,2025-02-17,"+69,287"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10176029,2025-02-18,"+24,215"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10158399,2025-02-19,"-20,020"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10148478,2025-02-20,"-15,064"
2 Chainz,17lzZA2AlOHwCwFALHttmp,10167958,2025-02-21,-985
